keys,zh_CN,ja,ko,en
"GNE0023","相同的预置局面分支已经存在。","同じ初期配置局面の分岐がすでに存在します。","동일한 배치 국면 분기가 이미 존재합니다.","An identical setup-position branch already exists."
"GNE0024","棋子编号方式超出有效范围。","碁石番号方式が有効範囲外です。","바둑돌 번호 방식이 유효 범위를 벗어났습니다.","The stone-numbering mode is out of range."
"GNE0025","当前棋谱没有可供排版的笔记。","現在の棋譜にはレイアウト対象のノートがありません。","현재 기보에 편집할 노트가 없습니다.","The current game record has no notes to lay out."
"GNE0026","无法读取 PPTX 排版模板。","PPTX レイアウトテンプレートを読み込めません。","PPTX 편집 템플릿을 읽을 수 없습니다.","Could not read the PPTX layout template."
"GNE0027","PPTX 排版模板无效。","PPTX レイアウトテンプレートが無効です。","PPTX 편집 템플릿이 올바르지 않습니다.","The PPTX layout template is invalid."
"GNE0028","无法写入 PPTX 文件。","PPTX ファイルを書き込めません。","PPTX 파일을 쓸 수 없습니다.","Could not write the PPTX file."
"GNE0029","棋谱结果（RE）不是有效的 SGF 格式。","棋譜結果（RE）が有効な SGF 形式ではありません。","기보 결과(RE)가 올바른 SGF 형식이 아닙니다.","The game result (RE) is not valid SGF format."
"GNE0030","棋谱信息中包含未知字段。","棋譜情報に不明な項目があります。","기보 정보에 알 수 없는 필드가 있습니다.","The game information contains an unknown field."
"GNE0031","棋谱信息的填写格式无效。","棋譜情報の入力形式が無効です。","기보 정보 형식이 올바르지 않습니다.","The game-information format is invalid."
"GNE0032","恢复棋谱信息失败。","棋譜情報の復元に失敗しました。","기보 정보 복원에 실패했습니다.","Failed to restore game information."
"GNE0033","不支持所选的 PPTX 棋盘图片格式。","選択した PPTX 碁盤画像形式はサポートされていません。","선택한 PPTX 바둑판 이미지 형식은 지원되지 않습니다.","The selected PPTX board-image format is not supported."
"GNE0034","无法将棋盘图转换为 PNG。","碁盤画像を PNG に変換できません。","바둑판 그림을 PNG로 변환할 수 없습니다.","Could not convert the board image to PNG."
"GNE0035","当前预置节点无法修改，或修改没有产生实际变化。","現在の初期配置ノードは変更できないか、変更内容がありません。","현재 배치 노드를 수정할 수 없거나 실제 변경이 없습니다.","The current setup node cannot be edited, or the edit made no change."
"GNE0036","修改后的预置局面包含没有气的棋块。","変更後の初期配置に呼吸点のない石群があります。","수정된 배치 국면에 활로가 없는 돌 무리가 있습니다.","The edited setup position contains a group with no liberties."
"GNE0037","修改预置棋子后，后续棋局分支无法继续重放。","初期配置の変更後、後続の棋譜分岐を再生できません。","배치 돌을 수정한 뒤 후속 기보 분기를 재생할 수 없습니다.","A descendant branch cannot be replayed after editing setup stones."
"GNE0038","恢复预置节点修改失败。","初期配置ノード変更の復元に失敗しました。","배치 노드 수정 복원에 실패했습니다.","Failed to restore the setup-node edit."
"GNE0039","棋谱没有可删除的旁支，或保留主干失败。","削除できる脇道がないか、本線のみを残す処理に失敗しました。","삭제할 곁가지가 없거나 본선 유지에 실패했습니다.","There are no side branches to delete, or keeping the main line failed."
"GNE0040","当前棋谱没有可清除的笔记。","現在の棋譜には消去できるノートがありません。","현재 기보에 지울 노트가 없습니다.","The current game record has no notes to clear."
"分析配置文件","分析配置文件","解析設定ファイル","분석 설정 파일","Analysis configuration"
"、","、","、"," · ",", "
"%s路径已失效，请重新选择","%s路径已失效，请重新选择","%sのパスが無効です。再度選択してください","%s 경로가 유효하지 않습니다. 다시 선택하세요","The path for %s is no longer valid; select it again"
"写入性能配置失败：%s","写入性能配置失败：%s","性能設定の書き込みに失敗：%s","성능 설정 쓰기 실패: %s","Failed to write performance configuration: %s"
"保存设置失败：%s","保存设置失败：%s","設定の保存に失敗：%s","설정 저장 실패: %s","Failed to save settings: %s"
"KataGo 可执行文件路径无效。","KataGo 可执行文件路径无效。","KataGo 実行ファイルのパスが無効です。","KataGo 실행 파일 경로가 올바르지 않습니다.","The KataGo executable path is invalid."
"KataGo 神经网络模型路径无效。","KataGo 神经网络模型路径无效。","KataGo ニューラルネットワークモデルのパスが無効です。","KataGo 신경망 모델 경로가 올바르지 않습니다.","The KataGo neural network model path is invalid."
"KataGo 分析配置文件路径无效。","KataGo 分析配置文件路径无效。","KataGo 解析設定ファイルのパスが無効です。","KataGo 분석 설정 파일 경로가 올바르지 않습니다.","The KataGo analysis configuration path is invalid."
"KataGo 可执行文件路径无效","KataGo 可执行文件路径无效","KataGo 実行ファイルのパスが無効です","KataGo 실행 파일 경로가 올바르지 않습니다","Invalid KataGo executable path"
"神经网络模型路径无效","神经网络模型路径无效","ニューラルネットワークモデルのパスが無効です","신경망 모델 경로가 올바르지 않습니다","Invalid neural network model path"
"请选择 KataGo 可执行文件","请选择 KataGo 可执行文件","KataGo 実行ファイルを選択してください","KataGo 실행 파일을 선택하세요","Select the KataGo executable"
"请选择神经网络模型","请选择神经网络模型","ニューラルネットワークモデルを選択してください","신경망 모델을 선택하세요","Select a neural network model"
"请选择有效的KataGo分析配置文件","请选择有效的KataGo分析配置文件","有効な KataGo 解析設定ファイルを選択してください","올바른 KataGo 분석 설정 파일을 선택하세요","Select a valid KataGo analysis configuration"
"配置有效，可以测试","配置有效，可以测试","設定は有効です。テストできます","설정이 유효합니다. 테스트할 수 있습니다","Configuration is valid and ready to test"
"请先完整配置有效路径","请先完整配置有效路径","先にすべての有効なパスを設定してください","먼저 모든 유효한 경로를 설정하세요","Configure all required valid paths first"
"无法启动 KataGo","无法启动 KataGo","KataGo を起動できません","KataGo를 시작할 수 없습니다","Could not start KataGo"
"正在检测 KataGo…","正在检测 KataGo…","KataGo を確認中…","KataGo 확인 중…","Testing KataGo…"
"KataGo 检测超时","KataGo 检测超时","KataGo の確認がタイムアウトしました","KataGo 확인 시간이 초과되었습니다","KataGo test timed out"
"该文件不是可识别的 KataGo 程序","该文件不是可识别的 KataGo 程序","このファイルは認識可能な KataGo プログラムではありません","이 파일은 인식할 수 있는 KataGo 프로그램이 아닙니다","This file is not a recognized KataGo program"
"已检测：%s","已检测：%s","確認済み：%s","확인됨: %s","Detected: %s"
"自动性能检测会占用较多计算资源。TensorRT等后端首次初始化可能耗时较长，检测将持续到完成或由你主动停止。\n检测完成后将生成当前设备专用的KataGo分析配置。","自动性能检测会占用较多计算资源。TensorRT等后端首次初始化可能耗时较长，检测将持续到完成或由你主动停止。\n检测完成后将生成当前设备专用的KataGo分析配置。","自動性能テストは多くの計算資源を使用します。TensorRT などのバックエンドは初回初期化に時間がかかる場合があります。テストは完了するか手動で停止するまで続きます。\n完了後、このデバイス専用の KataGo 解析設定を生成します。","자동 성능 테스트는 많은 연산 자원을 사용합니다. TensorRT 등의 백엔드는 처음 초기화할 때 시간이 오래 걸릴 수 있습니다. 테스트는 완료되거나 사용자가 중지할 때까지 계속됩니다.\n완료 후 이 장치 전용 KataGo 분석 설정을 생성합니다.","The automatic performance test uses significant computing resources. Backends such as TensorRT may take a long time to initialize the first time. The test continues until it finishes or you stop it.\nWhen complete, it generates a KataGo analysis configuration for this device."
"正在启动 KataGo benchmark…","正在启动 KataGo benchmark…","KataGo benchmark を起動中…","KataGo benchmark 시작 중…","Starting KataGo benchmark…"
"无法启动KataGo性能检测","无法启动KataGo性能检测","KataGo 性能テストを起動できません","KataGo 성능 테스트를 시작할 수 없습니다","Could not start the KataGo performance test"
"无法启动 KataGo benchmark。","无法启动 KataGo benchmark。","KataGo benchmark を起動できません。","KataGo benchmark를 시작할 수 없습니다.","Could not start the KataGo benchmark."
"正在自动检测性能…","正在自动检测性能…","性能を自動テスト中…","자동 성능 테스트 중…","Running automatic performance test…"
"性能检测没有取得有效结果","性能检测没有取得有效结果","性能テストで有効な結果を取得できませんでした","성능 테스트에서 유효한 결과를 얻지 못했습니다","The performance test did not produce a valid result"
"性能检测没有取得有效结果。","性能检测没有取得有效结果。","性能テストで有効な結果を取得できませんでした。","성능 테스트에서 유효한 결과를 얻지 못했습니다.","The performance test did not produce a valid result."
"检测完成：%d线程，批量%d；请确认保存","检测完成：%d线程，批量%d；请确认保存","テスト完了：%d スレッド、バッチ %d。確認して保存してください","테스트 완료: %d 스레드, 배치 %d. 확인 후 저장하세요","Test complete: %d threads, batch %d; confirm to save"
"停止性能检测","停止性能检测","性能テストを停止","성능 테스트 중지","Stop performance test"
"确认检测结果","确认检测结果","テスト結果を確認","테스트 결과 확인","Confirm test result"
"关闭性能检测窗口","关闭性能检测窗口","性能テストウィンドウを閉じる","성능 테스트 창 닫기","Close performance-test window"
"已取消性能测试","已取消性能测试","性能テストをキャンセルしました","성능 테스트를 취소했습니다","Performance test canceled"
"当前局面已经改变，分支顺序调整已放弃。","当前局面已经改变，分支顺序调整已放弃。","局面が変更されたため、分岐の並べ替えを破棄しました。","국면이 변경되어 분기 순서 조정을 취소했습니다.","The position changed, so the branch reorder was discarded."
"当前局面已经改变，分支删除已放弃。","当前局面已经改变，分支删除已放弃。","局面が変更されたため、分岐の削除を中止しました。","국면이 변경되어 분기 삭제를 취소했습니다.","The position changed, so branch deletion was canceled."
"所选分支已不存在。","所选分支已不存在。","選択した分岐は存在しません。","선택한 분기가 더 이상 존재하지 않습니다.","The selected branch no longer exists."
"当前局面已经改变，无法进入所选分支。","当前局面已经改变，无法进入所选分支。","局面が変更されたため、選択した分岐へ移動できません。","국면이 변경되어 선택한 분기로 들어갈 수 없습니다.","The position changed, so the selected branch cannot be entered."
"调整或删除下一手分支（%d，Ctrl+X）","调整或删除下一手分支（%d，Ctrl+X）","次の分岐を並べ替え・削除（%d、Ctrl+X）","다음 분기 순서 조정·삭제(%d, Ctrl+X)","Reorder or delete next branches (%d, Ctrl+X)"
"当前局面没有可调整或删除的下一手分支","当前局面没有可调整或删除的下一手分支","現在の局面には並べ替え・削除できる次の分岐がありません","현재 국면에 순서를 조정하거나 삭제할 다음 분기가 없습니다","There are no next branches to reorder or delete"
"选择下一步的预置棋子分支（%d）","选择下一步的预置棋子分支（%d）","次の初期配置分岐を選択（%d）","다음 배치 분기 선택(%d)","Select the next setup-stone branch (%d)"
"所选预置棋子分支已经不存在。","所选预置棋子分支已经不存在。","選択した初期配置分岐は存在しません。","선택한 배치 분기가 더 이상 존재하지 않습니다.","The selected setup-stone branch no longer exists."
"新建笔记","新建笔记","新規ノート","새 노트","New note"
"新建笔记.sgf","新建笔记.sgf","新規ノート.sgf","새 노트.sgf","New note.sgf"
"是否将当前棋谱保存到：\n%s","是否将当前棋谱保存到：\n%s","現在の棋譜を次の場所に保存しますか？\n%s","현재 기보를 다음 위치에 저장하시겠습니까?\n%s","Save the current game record to:\n%s"
"是否关闭标签“%s”？","是否关闭标签“%s”？","タブ「%s」を閉じますか？","탭 '%s'을(를) 닫으시겠습니까?","Close the tab “%s”?"
"无法根据KataGo候选进入变化图。","无法根据KataGo候选进入变化图。","KataGo 候補から変化図に入れません。","KataGo 후보에서 변화도로 들어갈 수 없습니다.","Could not enter variation mode from the KataGo candidate."
"满","满","上限","가득 참","Full"
"无法从当前盘面进入变化图。","无法从当前盘面进入变化图。","現在の盤面から変化図に入れません。","현재 판에서 변화도로 들어갈 수 없습니다.","Could not enter variation mode from the current board."
"无法将当前变化图保留到主棋谱。","无法将当前变化图保留到主棋谱。","現在の変化図を主棋譜に保存できません。","현재 변화도를 주 기보에 유지할 수 없습니다.","Could not keep the current variation in the main game record."
"正在预置棋子（Esc 取消）","正在预置棋子（Esc 取消）","初期配置中（Esc でキャンセル）","돌 배치 중(Esc로 취소)","Setting up stones (Esc to cancel)"
"当前白方落子；点击或按 Ctrl+Q 切换为黑方","当前白方落子；点击或按 Ctrl+Q 切换为黑方","現在は白番。クリックまたは Ctrl+Q で黒番に切り替え","현재 백 차례. 클릭하거나 Ctrl+Q로 흑으로 전환","White to play; click or press Ctrl+Q to switch to Black"
"无法切换到所选棋局标签。","无法切换到所选棋局标签。","選択した棋譜タブに切り替えられません。","선택한 기보 탭으로 전환할 수 없습니다.","Could not switch to the selected game tab."
"停止播放","停止播放","再生を停止","재생 중지","Stop playback"
"预置分支 %d","预置分支 %d","初期配置分岐 %d","배치 분기 %d","Setup branch %d"
"黑 +%d　白 +%d　清除 %d","黑 +%d　白 +%d　清除 %d","黒 +%d　白 +%d　消去 %d","흑 +%d　백 +%d　지우기 %d","Black +%d  White +%d  Clear %d"
"当前局面没有下一手分支","当前局面没有下一手分支","現在の局面に次の分岐はありません","현재 국면에 다음 분기가 없습니다","The current position has no next branch"
"上移这个分支","上移这个分支","この分岐を上へ移動","이 분기를 위로 이동","Move this branch up"
"下移这个分支","下移这个分支","この分岐を下へ移動","이 분기를 아래로 이동","Move this branch down"
"删除这个分支","删除这个分支","この分岐を削除","이 분기 삭제","Delete this branch"
"黑","黑","黒","흑","Black"
"白","白","白","백","White"
"%s方落子分支 %d","%s方落子分支 %d","%s番の着手分岐 %d","%s 착수 분기 %d","%s move branch %d"
"第 %d 行，第 %d 列","第 %d 行，第 %d 列","%d 行、%d 列","%d행, %d열","Row %d, column %d"
"确定删除这个分支及其所有后续节点吗？\n此操作可以通过撤销恢复。","确定删除这个分支及其所有后续节点吗？\n此操作可以通过撤销恢复。","この分岐とその後続ノードをすべて削除しますか？\nこの操作は元に戻せます。","이 분기와 모든 후속 노드를 삭제하시겠습니까?\n이 작업은 실행 취소할 수 있습니다.","Delete this branch and all of its descendants?\nThis operation can be undone."
"正在生成棋盘缩略图：0 / %d","正在生成棋盘缩略图：0 / %d","碁盤サムネイルを生成中：0 / %d","바둑판 미리 보기 생성 중: 0 / %d","Generating board thumbnails: 0 / %d"
"正在生成棋盘缩略图：%d / %d","正在生成棋盘缩略图：%d / %d","碁盤サムネイルを生成中：%d / %d","바둑판 미리 보기 생성 중: %d / %d","Generating board thumbnails: %d / %d"
"所选局面已经不存在。","所选局面已经不存在。","選択した局面は存在しません。","선택한 국면이 더 이상 존재하지 않습니다.","The selected position no longer exists."
"修改后的预置局面无法重放后续棋局（首个冲突节点 UID：%d）。\n本次修改已放弃。如需修改，请先剪掉与新局面冲突的后续分支。","修改后的预置局面无法重放后续棋局（首个冲突节点 UID：%d）。\n本次修改已放弃。如需修改，请先剪掉与新局面冲突的后续分支。","変更後の初期配置では後続棋譜を再生できません（最初の競合ノード UID：%d）。\n変更は破棄されました。変更するには、新しい局面と競合する後続分岐を先に削除してください。","수정한 배치 국면에서 후속 기보를 재생할 수 없습니다(첫 충돌 노드 UID: %d).\n수정을 취소했습니다. 변경하려면 새 국면과 충돌하는 후속 분기를 먼저 잘라내세요.","The edited setup position cannot replay the following game (first conflicting node UID: %d).\nThe edit was discarded. To make this change, first cut the descendant branches that conflict with the new position."
"分支相对编号","分支相对编号","分岐相対番号","분기 상대 번호","Branch-relative numbering"
"分支绝对编号","分支绝对编号","分岐絶対番号","분기 절대 번호","Branch-absolute numbering"
"全局绝对编号","全局绝对编号","全局絶対番号","전체 절대 번호","Global absolute numbering"
"无编号","无编号","番号なし","번호 없음","No numbering"
"放弃并继续","放弃并继续","破棄して続行","버리고 계속","Discard and continue"
"关闭最后一层笔记","关闭最后一层笔记","最後のノート層を閉じる","마지막 노트 계층 닫기","Close the last note layer"
"增加一层笔记","增加一层笔记","ノート層を追加","노트 계층 추가","Add a note layer"
"输入当前局面的笔记……","输入当前局面的笔记……","現在局面のノートを入力…","현재 국면의 노트를 입력하세요…","Enter notes for the current position…"
"点击 + 新建笔记","点击 + 新建笔记","+ をクリックしてノートを作成","+를 클릭하여 노트 만들기","Click + to create a note"
"在SGF中，0号笔记进入落子节点，后续笔记依次进入独立节点。","在SGF中，0号笔记进入落子节点，后续笔记依次进入独立节点。","SGF では、ノート 0 は着手ノードに入り、後続のノートは順に独立ノードへ入ります。","SGF에서 0번 노트는 착수 노드에 들어가며 이후 노트는 차례로 독립 노드에 들어갑니다.","In SGF, note 0 is stored on the move node; later notes are stored in separate nodes in order."
"笔记对应的局面已经改变，无法保存本次编辑。","笔记对应的局面已经改变，无法保存本次编辑。","ノートに対応する局面が変更されたため、編集内容を保存できません。","노트에 해당하는 국면이 변경되어 편집 내용을 저장할 수 없습니다.","The note's position has changed, so these edits cannot be saved."
"局面已改变，请重新开始分析","局面已改变，请重新开始分析","局面が変更されました。解析を再開してください","국면이 변경되었습니다. 분석을 다시 시작하세요","The position changed; restart analysis"
"已暂停界面刷新，KataGo仍在分析","已暂停界面刷新，KataGo仍在分析","画面更新を一時停止しました。KataGo は解析を続けています","화면 갱신을 일시 정지했습니다. KataGo는 계속 분석 중입니다","Display updates paused; KataGo is still analyzing"
"正在停止分析…","正在停止分析…","解析を停止中…","분석 중지 중…","Stopping analysis…"
"持续分析已关闭","持续分析已关闭","継続解析を無効にしました","지속 분석을 끄었습니다","Continuous analysis disabled"
"当前局面不在播放路径中。","当前局面不在播放路径中。","現在の局面は再生経路上にありません。","현재 국면이 재생 경로에 없습니다.","The current position is not on the playback path."
"无法构造当前局面的KataGo请求。","无法构造当前局面的KataGo请求。","現在局面の KataGo リクエストを作成できません。","현재 국면의 KataGo 요청을 만들 수 없습니다.","Could not build a KataGo request for the current position."
"正在分析当前局面…","正在分析当前局面…","現在局面を解析中…","현재 국면 분석 중…","Analyzing current position…"
"正在加大计算量：%d maxplayouts…","正在加大计算量：%d maxplayouts…","解析量を増加中：%d maxplayouts…","연산량 증가 중: %d maxplayouts…","Increasing analysis effort: %d maxplayouts…"
"无法构造整局分析请求。","无法构造整局分析请求。","全局解析リクエストを作成できません。","전체 대국 분석 요청을 만들 수 없습니다.","Could not build the full-game analysis request."
"播放路径没有可分析的局面。","播放路径没有可分析的局面。","再生経路に解析可能な局面がありません。","재생 경로에 분석할 수 있는 국면이 없습니다.","The playback path has no positions to analyze."
"取消整局分析","取消整局分析","全局解析をキャンセル","전체 대국 분석 취소","Cancel full-game analysis"
"正在分析整条播放路径：0/%d","正在分析整条播放路径：0/%d","再生経路全体を解析中：0/%d","전체 재생 경로 분석 중: 0/%d","Analyzing full playback path: 0/%d"
"分析已停止","分析已停止","解析を停止しました","분석이 중지되었습니다","Analysis stopped"
"分析已完成，点击播放按钮显示最终结果","分析已完成，点击播放按钮显示最终结果","解析が完了しました。再生ボタンで最終結果を表示できます","분석이 완료되었습니다. 재생 버튼을 눌러 최종 결과를 표시하세요","Analysis complete; click Play to display the final result"
"分析中","分析中","解析中","분석 중","Analyzing"
"分析完成","分析完成","解析完了","분석 완료","Complete"
"%s · %d visits · 目标 %d maxplayouts","%s · %d visits · 目标 %d maxplayouts","%s・%d visits・目標 %d maxplayouts","%s · %d visits · 목표 %d maxplayouts","%s · %d visits · target %d maxplayouts"
"正在分析整条播放路径：%d/%d","正在分析整条播放路径：%d/%d","再生経路全体を解析中：%d/%d","전체 재생 경로 분석 중: %d/%d","Analyzing full playback path: %d/%d"
"整局分析完成","整局分析完成","全局解析が完了しました","전체 대국 분석 완료","Full-game analysis complete"
"进入候选变化图","进入候选变化图","候補変化図を表示","후보 변화도 들어가기","Enter candidate variation"
"整局分析已取消","整局分析已取消","全局解析をキャンセルしました","전체 대국 분석이 취소되었습니다","Full-game analysis canceled"
"KataGo警告：%s","KataGo警告：%s","KataGo 警告：%s","KataGo 경고: %s","KataGo warning: %s"
"分析显示设置已更新","分析显示设置已更新","解析表示設定を更新しました","분석 표시 설정이 업데이트되었습니다","Analysis display settings updated"
"分析设置已更新","分析设置已更新","解析設定を更新しました","분석 설정이 업데이트되었습니다","Analysis settings updated"
"KataGo引擎设置已更新","KataGo引擎设置已更新","KataGo エンジン設定を更新しました","KataGo 엔진 설정이 업데이트되었습니다","KataGo engine settings updated"
"KataGo分析传输层尚未初始化。","KataGo分析传输层尚未初始化。","KataGo 解析トランスポートはまだ初期化されていません。","KataGo 분석 전송 계층이 초기화되지 않았습니다.","The KataGo analysis transport is not initialized."
"无法向KataGo发送分析请求。","无法向KataGo发送分析请求。","KataGo に解析リクエストを送信できません。","KataGo에 분석 요청을 보낼 수 없습니다.","Could not send the analysis request to KataGo."
"KataGo返回了无法解析的数据。","KataGo返回了无法解析的数据。","KataGo から解析できないデータが返されました。","KataGo가 해석할 수 없는 데이터를 반환했습니다.","KataGo returned data that could not be parsed."
"KataGo分析失败。","KataGo分析失败。","KataGo 解析に失敗しました。","KataGo 분석에 실패했습니다.","KataGo analysis failed."
"KataGo分析警告。","KataGo分析警告。","KataGo 解析警告。","KataGo 분석 경고.","KataGo analysis warning."
"移动端暂不支持本地KataGo引擎。","移动端暂不支持本地KataGo引擎。","モバイル版ではローカル KataGo エンジンをまだサポートしていません。","모바일에서는 아직 로컬 KataGo 엔진을 지원하지 않습니다.","The local KataGo engine is not supported on mobile yet."
"KataGo路径或配置文件无效，请先打开设置检查。","KataGo路径或配置文件无效，请先打开设置检查。","KataGo のパスまたは設定ファイルが無効です。設定を確認してください。","KataGo 경로 또는 설정 파일이 올바르지 않습니다. 설정을 확인하세요.","A KataGo path or configuration file is invalid; check Settings first."
"无法启动KataGo分析进程。","无法启动KataGo分析进程。","KataGo 解析プロセスを起動できません。","KataGo 분석 프로세스를 시작할 수 없습니다.","Could not start the KataGo analysis process."
"KataGo分析进程异常退出：%s","KataGo分析进程异常退出：%s","KataGo 解析プロセスが異常終了しました：%s","KataGo 분석 프로세스가 비정상 종료되었습니다: %s","The KataGo analysis process exited unexpectedly: %s"
"KataGo分析进程已意外退出，请查看详细日志。","KataGo分析进程已意外退出，请查看详细日志。","KataGo 解析プロセスが予期せず終了しました。詳細ログを確認してください。","KataGo 분석 프로세스가 예기치 않게 종료되었습니다. 상세 로그를 확인하세요.","The KataGo analysis process exited unexpectedly; see the detailed log."
"程序设置（Ctrl+O）","程序设置（Ctrl+O）","アプリ設定（Ctrl+O）","프로그램 설정(Ctrl+O)","Application settings (Ctrl+O)"
"DIALOG_KEEP_MAIN_LINE_MESSAGE","将删除第一分支路径以外的全部分支，只保留从棋局起点开始、逐层选择第一分支直到叶节点的主干。\n\n是否继续？此操作可通过一次撤销完整恢复。","第1分岐の経路以外をすべて削除し、棋譜の開始から各階層の第1分岐を選んで終端まで続く本線のみを残します。\n\n続行しますか？この操作は1回の元に戻す操作で完全に復元できます。","첫 번째 분기 경로 이외의 모든 분기를 삭제하고 기보 시작부터 각 단계의 첫 번째 분기만 선택하여 마지막 노드까지 이어지는 본선만 유지합니다.\n\n계속하시겠습니까? 이 작업은 한 번의 실행 취소로 완전히 복원할 수 있습니다.","All branches outside the first-child path will be deleted, keeping only the main line formed by choosing the first branch at each node from the game root to a leaf.\n\nContinue? This operation can be fully restored with a single Undo."
"DIALOG_CLEAR_NOTES_MESSAGE","将清除当前棋谱所有局面的标题、评论、棋子编号方式和棋盘标记。\n\n是否继续？此操作可通过一次撤销完整恢复。","現在の棋譜にあるすべての局面のタイトル、コメント、碁石番号方式、碁盤マークを消去します。\n\n続行しますか？この操作は1回の元に戻す操作で完全に復元できます。","현재 기보의 모든 국면에서 제목, 설명, 바둑돌 번호 방식과 바둑판 마크를 지웁니다.\n\n계속하시겠습니까? 이 작업은 한 번의 실행 취소로 완전히 복원할 수 있습니다.","This clears titles, comments, stone-numbering modes, and board marks from every position in the current game record.\n\nContinue? This operation can be fully restored with a single Undo."
"DIALOG_CUT_BRANCH_MESSAGE","确定要剪掉所选节点及其全部后续节点吗？\n此操作可以通过 Undo 恢复。","選択したノードとその後続ノードをすべて削除しますか？\nこの操作は Undo で復元できます。","선택한 노드와 모든 후속 노드를 잘라내시겠습니까?\n이 작업은 실행 취소로 복원할 수 있습니다.","Cut the selected node and all of its descendants?\nThis operation can be restored with Undo."
"DIALOG_DELETE_BRANCH_MESSAGE","确定要删除所选局面及其全部后续分支吗？\n此操作可以通过 Undo 恢复。","選択した局面とその後続分岐をすべて削除しますか？\nこの操作は Undo で復元できます。","선택한 국면과 모든 후속 분기를 삭제하시겠습니까?\n이 작업은 실행 취소로 복원할 수 있습니다.","Delete the selected position and all descendant branches?\nThis operation can be restored with Undo."
"DIALOG_BENCHMARK_SAVE_REMINDER","性能检测结果尚未生效。\n请回到设置面板，点击左上角绿色 ✓ 保存设置。","性能テスト結果はまだ反映されていません。\n設定パネルに戻り、左上の緑色の ✓ をクリックして保存してください。","성능 테스트 결과가 아직 적용되지 않았습니다.\n설정 패널로 돌아가 왼쪽 위의 초록색 ✓를 눌러 저장하세요.","The performance test result is not active yet.\nReturn to Settings and click the green ✓ in the upper-left to save it."
"DIALOG_SAVE_TO_PATH","是否将当前棋谱保存到：\n%s","現在の棋譜を次の場所に保存しますか？\n%s","현재 기보를 다음 위치에 저장하시겠습니까?\n%s","Save the current game record to:\n%s"
"DIALOG_PRESET_REPLAY_CONFLICT","修改后的预置局面无法重放后续棋局（首个冲突节点 UID：%d）。\n本次修改已放弃。如需修改，请先剪掉与新局面冲突的后续分支。","変更後の初期配置では後続棋譜を再生できません（最初の競合ノード UID：%d）。\n変更は破棄されました。変更するには、新しい局面と競合する後続分岐を先に削除してください。","수정한 배치 국면에서 후속 기보를 재생할 수 없습니다(첫 충돌 노드 UID: %d).\n수정을 취소했습니다. 변경하려면 새 국면과 충돌하는 후속 분기를 먼저 잘라내세요.","The edited setup position cannot replay the following game (first conflicting node UID: %d).\nThe edit was discarded. To make this change, first cut the descendant branches that conflict with the new position."
"DIALOG_DELETE_ORDER_BRANCH_MESSAGE","确定删除这个分支及其所有后续节点吗？\n此操作可以通过撤销恢复。","この分岐とその後続ノードをすべて削除しますか？\nこの操作は元に戻せます。","이 분기와 모든 후속 노드를 삭제하시겠습니까?\n이 작업은 실행 취소할 수 있습니다.","Delete this branch and all of its descendants?\nThis operation can be undone."
"DIALOG_BENCHMARK_CONFIRMATION_MESSAGE","自动性能检测会占用较多计算资源。TensorRT等后端首次初始化可能耗时较长，检测将持续到完成或由你主动停止。\n检测完成后将生成当前设备专用的KataGo分析配置。","自動性能テストは多くの計算資源を使用します。TensorRT などのバックエンドは初回初期化に時間がかかる場合があります。テストは完了するか手動で停止するまで続きます。\n完了後、このデバイス専用の KataGo 解析設定を生成します。","자동 성능 테스트는 많은 연산 자원을 사용합니다. TensorRT 등의 백엔드는 처음 초기화할 때 시간이 오래 걸릴 수 있습니다. 테스트는 완료되거나 사용자가 중지할 때까지 계속됩니다.\n완료 후 이 장치 전용 KataGo 분석 설정을 생성합니다.","The automatic performance test uses significant computing resources. Backends such as TensorRT may take a long time to initialize the first time. The test continues until it finishes or you stop it.\nWhen complete, it generates a KataGo analysis configuration for this device."
"手","手","手","수","moves"
"秒","秒","秒","초","sec"
"SGF 棋谱","SGF 棋谱","SGF 棋譜","SGF 기보","SGF game record"
"PowerPoint 演示文稿","PowerPoint 演示文稿","PowerPoint プレゼンテーション","PowerPoint 프레젠테이션","PowerPoint presentation"
"Windows 可执行文件","Windows 可执行文件","Windows 実行ファイル","Windows 실행 파일","Windows executable"
"所有文件","所有文件","すべてのファイル","모든 파일","All files"
"KataGo 神经网络模型","KataGo 神经网络模型","KataGo ニューラルネットワークモデル","KataGo 신경망 모델","KataGo neural-network model"
"KataGo 配置文件","KataGo 配置文件","KataGo 設定ファイル","KataGo 설정 파일","KataGo configuration file"
"关闭设置","关闭设置","設定を閉じる","설정 닫기","Close settings"
"落子防误触","落子防误触","着手確認","착수 확인","Confirm moves before playing"
"落子后先显示半透明棋子，确认后才写入棋谱","落子后先显示半透明棋子，确认后才写入棋谱","着手後は半透明の石を表示し、確認してから棋譜に記録します","착수 후 반투명 돌을 표시하고 확인한 뒤 기보에 기록합니다","Show a translucent stone first and add it to the game record only after confirmation"
"确认落子","确认落子","着手を確定","착수 확인","Confirm move"
"取消待确认落子","取消待确认落子","未確定の着手を取り消す","대기 중인 착수 취소","Cancel pending move"
